"Group2","Marker","Group1","Date","Session","Treatment","subjects","Period","Subject","Group","Profit","TotalProfit","Participate","R1","Rank1","R2","Rank2","R0","Rank0","Group0","Type","TimeContinueWelcomeOK","charity","TimeOKChoiceCharityOK","TimeOKPart1OK","DictatorSelf","DictatorCharity","TimeOKUltimatumAgentOK","TimeOKPayoffInformationOK","answerPart2","TimeOKCodeToStartPart2OK","TimeOKPart2OK","answer1","answer2","answer3","answer4","TimeOKControlQuestionsOK","TimeOKGroupAssignmentOK","TimeOKPAPrincipalExpectedAcceptanceOK","TimeOKPAPrincipalEffortOK","OptimalWage","TimeOKPAAgentOK","TimeOKPAAgentEffortOK","PreferedWage","PreferedEffort","TimeOKPAAgentPreferedContractOK","TimeCONTINUEQuestionnaireOK","gender","age","study","TimeCONTINUEQuestion1SociecoOK","fair_wage","fair_effort","TimeCONTINUEQuestion2FairnessRatingsOK","Give_Charity","Punish_Self","Punish_Others","TimeCONTINUEQuestion3WillingnessToActOK","Favor_return","Favor_revenge","Favor_intentions","TimeCONTINUEQuestion4FavorOK","Gift","TimeCONTINUEQuestion5GiftOK","Donation_Good_Cause","TimeCONTINUEQuestion6DonationOK","UltimatumContractConcluded","PAContractConcluded","PAEffort","PAWage","UltimatumPayoff","PAPayoff","OptimalWagePayoff","OptimalWageBonus","NumCorrectAcceptGuesses","NumCorrectRefuseGuesses","PayoffPart1","TotalPayoff","PayoffCharityPart1","PayoffCharityPart1Euro","TotalPayoffCharity","TotalPayoffCharityEuro","TimeOKFinalPayoffCalculationOK","TimeOKFinalPayoffDisplayAgentOK","TimeOKFinalPayoffDisplayPrincipalOK","TimeTheEndTheEndOK","Ultimatum_Accept_Agent_atShare_Principal_10","Ultimatum_Accept_Agent_atShare_Principal_20","Ultimatum_Accept_Agent_atShare_Principal_30","Ultimatum_Accept_Agent_atShare_Principal_40","Ultimatum_Accept_Agent_atShare_Principal_50","Ultimatum_Accept_Agent_atShare_Principal_60","Ultimatum_Accept_Agent_atShare_Principal_70","Ultimatum_Accept_Agent_atShare_Principal_80","Ultimatum_Accept_Agent_atShare_Principal_90","PA_Accept_Agent_atWage_1","PA_Accept_Agent_atWage_3","PA_Accept_Agent_atWage_5","PA_Accept_Agent_atWage_10","PA_Accept_Agent_atWage_15","PA_Accept_Agent_atWage_20","PA_Accept_Agent_atWage_25","PA_Accept_Agent_atWage_30","PA_Accept_Agent_atWage_35","PA_Accept_Agent_atWage_40","PA_Accept_Agent_atWage_45","PA_Accept_Agent_atWage_50","PA_Accept_Agent_atWage_55","PA_Accept_Agent_atWage_60","PA_Accept_Agent_atWage_65","PA_Accept_Agent_atWage_75","PA_Accept_Agent_atWage_85","PA_Accept_Agent_atWage_95","PA_OfferedEffort_Agent_atWage_1","PA_OfferedEffort_Agent_atWage_3","PA_OfferedEffort_Agent_atWage_5","PA_OfferedEffort_Agent_atWage_10","PA_OfferedEffort_Agent_atWage_15","PA_OfferedEffort_Agent_atWage_20","PA_OfferedEffort_Agent_atWage_25","PA_OfferedEffort_Agent_atWage_30","PA_OfferedEffort_Agent_atWage_35","PA_OfferedEffort_Agent_atWage_40","PA_OfferedEffort_Agent_atWage_45","PA_OfferedEffort_Agent_atWage_50","PA_OfferedEffort_Agent_atWage_55","PA_OfferedEffort_Agent_atWage_60","PA_OfferedEffort_Agent_atWage_65","PA_OfferedEffort_Agent_atWage_75","PA_OfferedEffort_Agent_atWage_85","PA_OfferedEffort_Agent_atWage_95","Ultimatum_Offer_Principal","PA_Offer_Principal","PA_ExpectedAcceptance_Principal_atWage_1","PA_ExpectedAcceptance_Principal_atWage_3","PA_ExpectedAcceptance_Principal_atWage_5","PA_ExpectedAcceptance_Principal_atWage_10","PA_ExpectedAcceptance_Principal_atWage_15","PA_ExpectedAcceptance_Principal_atWage_20","PA_ExpectedAcceptance_Principal_atWage_25","PA_ExpectedAcceptance_Principal_atWage_30","PA_ExpectedAcceptance_Principal_atWage_35","PA_ExpectedAcceptance_Principal_atWage_40","PA_ExpectedAcceptance_Principal_atWage_45","PA_ExpectedAcceptance_Principal_atWage_50","PA_ExpectedAcceptance_Principal_atWage_55","PA_ExpectedAcceptance_Principal_atWage_60","PA_ExpectedAcceptance_Principal_atWage_65","PA_ExpectedAcceptance_Principal_atWage_75","PA_ExpectedAcceptance_Principal_atWage_85","PA_ExpectedAcceptance_Principal_atWage_95","PA_ExpectedEffort_Principal_atWage_1","PA_ExpectedEffort_Principal_atWage_3","PA_ExpectedEffort_Principal_atWage_5","PA_ExpectedEffort_Principal_atWage_10","PA_ExpectedEffort_Principal_atWage_15","PA_ExpectedEffort_Principal_atWage_20","PA_ExpectedEffort_Principal_atWage_25","PA_ExpectedEffort_Principal_atWage_30","PA_ExpectedEffort_Principal_atWage_35","PA_ExpectedEffort_Principal_atWage_40","PA_ExpectedEffort_Principal_atWage_45","PA_ExpectedEffort_Principal_atWage_50","PA_ExpectedEffort_Principal_atWage_55","PA_ExpectedEffort_Principal_atWage_60","PA_ExpectedEffort_Principal_atWage_65","PA_ExpectedEffort_Principal_atWage_75","PA_ExpectedEffort_Principal_atWage_85","PA_ExpectedEffort_Principal_atWage_95"
1,1,10,"221025_0833",1,"PAN","subjects",1,19,1,19.193,19.193,1,0.10656312,10,0.906561219,1,0.193332715,9,9,2,99999,12,99999,99999,70,30,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,95,5,99999,99999,1,28,1,99999,95,5,99999,5,9,10,99999,10,10,8,99999,5,99999,50,99999,1,1,4,75,50,171,0,0,0,0,120,171,30,2.49,-1,-1,99999,99999,0,99999,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,2,2,2,2,3,3,3,3,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,4,"221025_1023",2,"PAN","subjects",1,19,1,9.15,9.15,1,0.75301381,4,0.998040228,1,0.004519967,10,10,2,99999,1,99999,99999,50,50,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,75,7,99999,99999,1,23,3,99999,95,10,99999,8,0,6,99999,9,0,10,99999,6,99999,500,99999,0,1,10,95,0,177,0,0,0,0,50,50,50,4.15,50,4.15,99999,99999,0,99999,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,2,2,3,4,4,5,6,7,8,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,2,"221025_1237",3,"PAN","subjects",1,14,1,13.715,13.715,1,0.911308561,2,0.900077985,1,0.573163323,6,6,2,99999,1,99999,99999,50,50,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,95,9,99999,99999,0,24,3,99999,10,5,99999,8,6,9,99999,10,1,5,99999,4,99999,20,99999,1,0,0,30,50,105,0,0,0,0,100,105,50,4.15,-1,-1,99999,99999,0,99999,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,7,"221025_1434",4,"PAN","subjects",1,17,1,19.691,19.691,1,0.546231787,7,0.944432269,1,0.034936437,10,10,2,99999,3,99999,99999,100,0,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,50,7,99999,99999,1,21,3,99999,50,5,99999,5,0,2,99999,9,1,3,99999,5,99999,500,99999,1,1,10,95,50,177,0,0,0,0,150,177,0,0,-1,-1,99999,99999,0,99999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,7,8,8,8,8,8,8,8,9,9,9,9,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,3,"221026_0839",5,"PAN","subjects",1,11,1,13.715,13.715,1,0.332750749,3,0.928334781,1,0.179716172,4,4,2,99999,8,99999,99999,80,20,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,95,7,99999,99999,0,23,2,99999,95,7,99999,2,1,4,99999,9,2,5,99999,5,99999,0,99999,1,0,0,25,50,105,0,0,0,0,130,105,20,1.66,-1,-1,99999,99999,0,99999,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,4,4,4,5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,8,"221026_1030",6,"PAN","subjects",1,13,1,15.375,15.375,1,0.388368219,8,0.887928114,1,0.078903053,10,10,2,99999,3,99999,99999,10,90,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,95,1,99999,99999,1,50,3,99999,35,5,99999,8,5,10,99999,7,6,7,99999,3,99999,500,99999,0,1,1,25,0,125,0,0,0,0,10,125,90,7.47,-1,-1,99999,99999,0,99999,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,8,"221025_0833",1,"PAN","subjects",1,16,1,14.462,14.462,1,0.232688843,8,0.162413496,10,0.016982668,12,12,2,99999,6,99999,99999,50,50,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,95,5,99999,99999,0,19,3,99999,50,5,99999,7,4,0,99999,10,4,0,99999,2,99999,0,99999,0,1,5,20,0,114,0,0,0,0,50,114,50,4.15,-1,-1,99999,99999,0,99999,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2,5,"221025_1023",2,"PAN","subjects",1,16,1,17.45,17.45,1,0.506161197,5,0.190791677,10,0.188998061,9,9,2,99999,12,99999,99999,100,0,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,95,1,99999,99999,0,19,2,99999,95,5,99999,2,1,1,99999,7,1,3,99999,2,99999,0,99999,1,1,1,60,50,160,0,0,0,0,150,150,0,0,0,0,99999,99999,0,99999,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,3,6,"221025_1237",3,"PAN","subjects",1,24,1,13.715,13.715,1,0.846213322,6,0.18421748,10,0.230670689,11,11,2,99999,10,99999,99999,40,60,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,95,10,99999,99999,1,20,2,99999,85,8,99999,6,2,3,99999,5,2,6,99999,3,99999,100,99999,1,0,0,1,30,105,0,0,0,0,70,105,60,4.98,-1,-1,99999,99999,0,99999,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,8,8,9,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,4,4,"221025_1434",4,"PAN","subjects",1,20,1,17.284,17.284,1,0.870036645,4,0.020548465,10,0.063919204,9,9,2,99999,5,99999,99999,70,30,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,35,2,99999,99999,1,23,1,99999,35,2,99999,6,3,5,99999,10,4,3,99999,1,99999,100,99999,1,1,3,50,50,148,0,0,0,0,120,148,30,2.49,-1,-1,99999,99999,0,99999,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,3,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,6,5,"221026_1030",6,"PAN","subjects",1,18,1,15.79,15.79,1,0.637250761,5,0.148234544,10,0.909273329,2,2,2,99999,1,99999,99999,90,10,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,95,5,99999,99999,1,26,3,99999,95,5,99999,5,5,5,99999,5,5,5,99999,3,99999,100,99999,1,1,1,30,50,130,0,0,0,0,140,130,10,0.83,-1,-1,99999,99999,0,99999,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,2,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,12,"221025_0833",1,"PAN","subjects",1,22,1,16.952,16.952,1,0.006353353,12,0.13715534,11,0.836135864,4,4,2,99999,3,99999,99999,50,50,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,95,5,99999,99999,1,25,3,99999,95,5,99999,10,10,10,99999,8,9,2,99999,5,99999,400,99999,1,1,2,45,50,144,0,0,0,0,100,144,50,4.15,-1,-1,99999,99999,0,99999,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,3,3,3,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,3,10,"221025_1237",3,"PAN","subjects",1,16,1,13.715,13.715,1,0.371386888,10,0.075098722,11,0.160359888,12,12,2,99999,8,99999,99999,100,0,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,95,10,99999,99999,0,19,1,99999,95,5,99999,5,2,6,99999,10,2,0,99999,1,99999,0,99999,1,0,0,20,50,105,0,0,0,0,150,105,0,0,-1,-1,99999,99999,0,99999,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,6,7,8,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,2,"221025_0833",1,"PAN","subjects",1,15,1,15.79,15.79,1,0.842026705,2,0.118523399,12,0.031725105,11,11,2,99999,5,99999,99999,100,0,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,95,1,99999,99999,1,27,3,99999,55,3,99999,8,8,8,99999,10,9,1,99999,1,99999,0,99999,1,1,1,30,50,130,0,0,0,0,150,130,0,0,-1,-1,99999,99999,0,99999,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,3,1,"221025_1237",3,"PAN","subjects",1,19,1,15.79,15.79,1,0.979041246,1,0.032426957,12,0.539314397,9,9,2,99999,1,99999,99999,90,10,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,95,1,99999,99999,0,19,2,99999,95,10,99999,6,7,5,99999,9,7,5,99999,1,99999,10,99999,1,1,1,30,50,130,0,0,0,0,140,130,10,0.83,-1,-1,99999,99999,0,99999,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,3,"221025_0833",1,"PAN","subjects",1,18,1,17.865,17.865,1,0.807420476,3,0.896332706,2,0.379595794,7,7,2,99999,6,99999,99999,90,10,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,95,1,99999,99999,1,22,1,99999,95,5,99999,7,2,2,99999,10,2,5,99999,2,99999,100,99999,1,1,1,55,50,155,0,0,0,0,140,155,10,0.83,-1,-1,99999,99999,0,99999,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,10,"221025_1023",2,"PAN","subjects",1,14,1,12.47,12.47,1,0.077469609,10,0.952656214,2,0.731272216,4,4,2,99999,6,99999,99999,90,10,99999,99999,260027,99999,99999,150,10,1,0,99999,99999,0,0,0,99999,99999,95,1,99999,99999,1,24,3,99999,95,5,99999,1,8,6,99999,9,6,4,99999,6,99999,50,99999,0,0,0,35,0,105,0,0,0,0,90,90,10,0.83,10,0.83,99999,99999,0,99999,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
