"Group2","Marker","Group1","Date","Session","subjects","Period","Subject","Group","Profit","TotalProfit","Participate","R1","Rank1","R2","Rank2","R0","Rank0","Group0","Type","P1Self1","P1Self2","P1Self3","P1Self4","P1Self5","P1SelfP","P1Org1","P1Org2","P1Org3","P1Org4","P1Org5","P1OrgP","max_indiff","chosen_charity","TimeContinuePrefOrgIntroOK","min_o1_o2","min_o1_o2_o3","min_o1_o2_o3_o4","min_o1_o2_o3_o4_o5","charityPart2","rand_P1_char","charityPart1","DictatorSelf","DictatorCharity","TimeOKSelectCharityOK","TimeOKUltimatumAgentOK","TimeOKPayoffInformationOK","answerPart2","TimeOKCodeToStartPart2OK","TimeOKPart2OK","answer1","answer2","answer3","answer4","answer6","answer7","TimeOKControlQuestionsOK","TimeOKRoleAssignmentOK","TimeOKPAPrincipalExpectedAcceptanceOK","TimeOKPAPrincipalEffortOK","OptimalWage","TimeOKPAAgentOK","TimeOKPAAgentEffortOK","PreferedWage","PreferedEffort","TimeOKPAAgentPreferedContractOK","TimeCONTINUEQuestionnaireOK","gender","age","study","TimeCONTINUEQuestion1SociecoOK","fair_wage","fair_effort","TimeCONTINUEQuestion2FairnessRatingsOK","Give_Charity","Punish_Self","Punish_Others","TimeCONTINUEQuestion3WillingnessToActOK","Favor_return","Favor_revenge","Favor_intentions","TimeCONTINUEQuestion4FavorOK","Gift","TimeCONTINUEQuestion5GiftOK","Donation_Good_Cause","TimeCONTINUEQuestion6DonationOK","UltimatumContractConcluded","PAContractConcluded","PAEffort","PAWage","UltimatumPayoff","PAPayoff","OptimalWagePayoff","OptimalWageBonus","NumCorrectAcceptGuesses","NumCorrectRefuseGuesses","PayoffPart1","TotalPayoff","PayoffCharityPart1","PayoffCharityPart1Euro","PayoffCharityPart2","PayoffCharityPart2Euro","TotalPayoffCharity","TotalPayoffCharityEuro","TimeOKFinalPayoffCalculationOK","TimeOKFinalPayoffDisplayAgentOK","TimeOKFinalPayoffDisplayPrincipalOK","TimeTheEndTheEndOK","Ultimatum_Accept_Agent_atShare_Principal_10","Ultimatum_Accept_Agent_atShare_Principal_20","Ultimatum_Accept_Agent_atShare_Principal_30","Ultimatum_Accept_Agent_atShare_Principal_40","Ultimatum_Accept_Agent_atShare_Principal_50","Ultimatum_Accept_Agent_atShare_Principal_60","Ultimatum_Accept_Agent_atShare_Principal_70","Ultimatum_Accept_Agent_atShare_Principal_80","Ultimatum_Accept_Agent_atShare_Principal_90","PA_Accept_Agent_atWage_1","PA_Accept_Agent_atWage_3","PA_Accept_Agent_atWage_5","PA_Accept_Agent_atWage_10","PA_Accept_Agent_atWage_15","PA_Accept_Agent_atWage_20","PA_Accept_Agent_atWage_25","PA_Accept_Agent_atWage_30","PA_Accept_Agent_atWage_35","PA_Accept_Agent_atWage_40","PA_Accept_Agent_atWage_45","PA_Accept_Agent_atWage_50","PA_Accept_Agent_atWage_55","PA_Accept_Agent_atWage_60","PA_Accept_Agent_atWage_65","PA_Accept_Agent_atWage_75","PA_Accept_Agent_atWage_85","PA_Accept_Agent_atWage_95","PA_OfferedEffort_Agent_atWage_1","PA_OfferedEffort_Agent_atWage_3","PA_OfferedEffort_Agent_atWage_5","PA_OfferedEffort_Agent_atWage_10","PA_OfferedEffort_Agent_atWage_15","PA_OfferedEffort_Agent_atWage_20","PA_OfferedEffort_Agent_atWage_25","PA_OfferedEffort_Agent_atWage_30","PA_OfferedEffort_Agent_atWage_35","PA_OfferedEffort_Agent_atWage_40","PA_OfferedEffort_Agent_atWage_45","PA_OfferedEffort_Agent_atWage_50","PA_OfferedEffort_Agent_atWage_55","PA_OfferedEffort_Agent_atWage_60","PA_OfferedEffort_Agent_atWage_65","PA_OfferedEffort_Agent_atWage_75","PA_OfferedEffort_Agent_atWage_85","PA_OfferedEffort_Agent_atWage_95","Ultimatum_Offer_Principal","PA_Offer_Principal","PA_ExpectedAcceptance_Principal_atWage_1","PA_ExpectedAcceptance_Principal_atWage_3","PA_ExpectedAcceptance_Principal_atWage_5","PA_ExpectedAcceptance_Principal_atWage_10","PA_ExpectedAcceptance_Principal_atWage_15","PA_ExpectedAcceptance_Principal_atWage_20","PA_ExpectedAcceptance_Principal_atWage_25","PA_ExpectedAcceptance_Principal_atWage_30","PA_ExpectedAcceptance_Principal_atWage_35","PA_ExpectedAcceptance_Principal_atWage_40","PA_ExpectedAcceptance_Principal_atWage_45","PA_ExpectedAcceptance_Principal_atWage_50","PA_ExpectedAcceptance_Principal_atWage_55","PA_ExpectedAcceptance_Principal_atWage_60","PA_ExpectedAcceptance_Principal_atWage_65","PA_ExpectedAcceptance_Principal_atWage_75","PA_ExpectedAcceptance_Principal_atWage_85","PA_ExpectedAcceptance_Principal_atWage_95","PA_ExpectedEffort_Principal_atWage_1","PA_ExpectedEffort_Principal_atWage_3","PA_ExpectedEffort_Principal_atWage_5","PA_ExpectedEffort_Principal_atWage_10","PA_ExpectedEffort_Principal_atWage_15","PA_ExpectedEffort_Principal_atWage_20","PA_ExpectedEffort_Principal_atWage_25","PA_ExpectedEffort_Principal_atWage_30","PA_ExpectedEffort_Principal_atWage_35","PA_ExpectedEffort_Principal_atWage_40","PA_ExpectedEffort_Principal_atWage_45","PA_ExpectedEffort_Principal_atWage_50","PA_ExpectedEffort_Principal_atWage_55","PA_ExpectedEffort_Principal_atWage_60","PA_ExpectedEffort_Principal_atWage_65","PA_ExpectedEffort_Principal_atWage_75","PA_ExpectedEffort_Principal_atWage_85","PA_ExpectedEffort_Principal_atWage_95"
1,1,7,"220516_0843",1,"subjects",1,16,1,15.62,15.62,1,0.239314269,7,0.985264168,1,0.422551674,8,8,2,90,90,90,80,80,-1,10.46959438,10.73024299,10.1938988,20.18125496,20.21287065,-1,-1,"NULL",99999,10.46959438,10.1938988,10.1938988,10.1938988,"Stiftung Orgelklang",0.060624644,"a participant of another experiment",90,10,99999,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,95,10,99999,99999,1,25,3,99999,55,10,99999,5,1,5,99999,9,1,6,99999,3,99999,200,99999,1,1,1,10,50,110,0,0,0,0,140,140,10,0.83,25,2.075,10,0.83,99999,99999,0,99999,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,2,2,3,3,4,4,4,5,5,6,7,8,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,6,"220516_1031",1,"subjects",1,14,1,12.3,12.3,1,0.732636924,6,0.997707387,1,0.338681849,10,10,2,50,50,50,50,50,-1,50.22584191,50.32413123,50.63773063,50.3104067,50.35530389,-1,-1,"NULL",99999,50.22584191,50.22584191,50.22584191,50.22584191,"a participant of another experiment",0.754627718,"Rattenhilfe Nordwest e.V. ",50,50,99999,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,50,10,99999,99999,1,22,3,99999,40,7,99999,8,4,6,99999,10,2,2,99999,5,99999,400,99999,1,1,8,40,50,128,0,0,0,0,100,100,50,4.15,200,16.6,50,4.15,99999,99999,0,99999,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,7,8,8,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,10,"220516_1239",1,"subjects",1,21,1,16.035,16.035,1,0.335083177,10,0.921526372,1,0.722891708,4,4,2,100,100,100,100,100,-1,0.185409083,0.340115586,0.769420677,0.322653708,0.122846663,-1,-1,"NULL",99999,0.185409083,0.185409083,0.185409083,0.122846663,"Adipositas Stiftung Deutschland",0.901158414,"Adipositas Stiftung Deutschland",100,0,99999,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,95,1,99999,99999,0,21,1,99999,30,5,99999,5,7,1,99999,5,5,5,99999,2,99999,50,99999,0,1,9,60,0,145,0,0,0,0,100,145,0,0,225,18.675,225,18.675,99999,99999,0,99999,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,2,6,6,8,8,9,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,5,"220516_1422",1,"subjects",1,21,1,16.45,16.45,1,0.292855057,5,0.980125962,1,0.26102027,9,9,2,100,100,100,100,100,-1,0.223997184,0.967675068,0.745622251,0.897565335,0.720674509,-1,-1,"NULL",99999,0.223997184,0.223997184,0.223997184,0.223997184,"a participant of another experiment",0.441606816,"Stiftung Orgelklang",100,0,99999,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,95,1,99999,99999,1,23,3,99999,5,1,99999,5,2,6,99999,5,0,0,99999,4,99999,100,99999,1,1,1,50,50,150,0,0,0,0,150,150,0,0,25,2.075,25,2.075,99999,99999,0,99999,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,5,"220516_0843",1,"subjects",1,19,1,13.13,13.13,1,0.678555247,5,0.004333927,10,0.597736899,4,4,2,80,30,90,100,70,-1,20.85603484,70.03437836,10.71233355,0.739603211,30.94043615,-1,-1,"NULL",99999,20.85603484,10.71233355,0.739603211,0.739603211,"Rattenhilfe Nordwest e.V. ",0.951116871,"Adipositas Stiftung Deutschland",70,30,99999,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,95,2,99999,99999,1,29,3,99999,50,5,99999,2,5,3,99999,10,2,1,99999,3,99999,50,99999,1,0,0,1,40,105,0,0,0,0,110,110,30,2.49,0,0,30,2.49,99999,99999,0,99999,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,4,5,6,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2,7,"220516_1031",1,"subjects",1,13,1,15.62,15.62,1,0.527655131,7,0.468060559,10,0.661520742,4,4,2,50,100,100,90,100,-1,50.52892003,0.436510233,0.316240093,10.46192811,0.405207466,-1,-1,"NULL",99999,0.436510233,0.316240093,0.316240093,0.316240093,"Stiftung Orgelklang",0.470565695,"Stiftung Orgelklang",100,0,99999,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,60,10,99999,99999,1,32,3,99999,60,10,99999,10,10,10,99999,10,0,10,99999,6,99999,300,99999,1,1,4,25,40,121,0,0,0,0,140,140,0,0,100,8.3,0,0,99999,99999,0,99999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,6,3,5,4,6,6,7,8,9,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,3,6,"220516_1239",1,"subjects",1,12,1,12.715,12.715,1,0.63351995,6,0.143324978,10,0.134844317,11,11,2,80,100,100,100,90,-1,20.00776027,0.654733632,0.920465009,0.682883465,10.13053233,-1,-1,"NULL",99999,0.654733632,0.654733632,0.654733632,0.654733632,"Deutsche Hauptstelle f¸r Suchtfragen e.V.",0.028160976,"a participant of another experiment",80,20,99999,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,50,8,99999,99999,1,45,3,99999,45,8,99999,7,3,2,99999,10,0,5,99999,2,99999,100,99999,1,0,0,5,50,105,0,0,0,0,130,105,20,1.66,0,0,0,0,99999,99999,0,99999,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,2,3,4,4,4,5,6,7,7,8,8,9,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,4,7,"220516_1422",1,"subjects",1,18,1,13.794,13.794,1,0.228577723,7,0.418052101,10,0.14715935,11,11,2,100,100,100,100,100,-1,0.416253007,0.980600057,0.209756535,0.285265807,0.07396976,-1,-1,"NULL",99999,0.416253007,0.209756535,0.209756535,0.07396976,"Adipositas Stiftung Deutschland",0.060541593,"a participant of another experiment",100,0,99999,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,95,7,99999,99999,0,26,2,99999,65,8,99999,8,2,2,99999,9,2,7,99999,2,99999,20,99999,1,1,3,20,50,118,0,0,0,0,150,118,0,0,75,6.225,75,6.225,99999,99999,0,99999,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,2,2,3,3,6,6,7,7,8,8,9,9,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2,5,"220516_1031",1,"subjects",1,16,1,13.13,13.13,1,0.753471614,5,0.44341198,11,0.440093977,8,8,2,80,80,80,80,80,-1,20.2259784,20.07974217,20.93400859,20.09600123,20.46388611,-1,-1,"NULL",99999,20.07974217,20.07974217,20.07974217,20.07974217,"Deutsche Hauptstelle f¸r Suchtfragen e.V.",0.871147602,"Adipositas Stiftung Deutschland",80,20,99999,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,60,10,99999,99999,0,26,3,99999,60,10,99999,7,6,8,99999,8,4,8,99999,4,99999,200,99999,1,1,10,60,30,142,0,0,0,0,110,110,20,1.66,250,20.75,20,1.66,99999,99999,0,99999,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,2,3,4,5,6,7,7,8,9,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,3,2,"220516_1239",1,"subjects",1,22,1,12.715,12.715,1,0.961102098,2,0.002152103,11,0.268532185,10,10,2,90,90,90,90,90,-1,10.076442,10.76069444,10.04751246,10.14524924,10.52624439,-1,-1,"NULL",99999,10.076442,10.04751246,10.04751246,10.04751246,"Stiftung Orgelklang",0.823875635,"Adipositas Stiftung Deutschland",90,10,99999,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,60,6,99999,99999,0,24,3,99999,60,10,99999,8,1,2,99999,9,1,5,99999,2,99999,250,99999,1,0,0,30,50,105,0,0,0,0,140,105,10,0.83,0,0,0,0,99999,99999,0,99999,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,5,6,7,8,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,4,1,"220516_1422",1,"subjects",1,16,1,15.62,15.62,1,0.624674044,1,0.201665487,11,0.506505474,6,6,2,100,100,100,100,100,-1,0.423872628,0.13289645,0.171459426,0.17473049,0.936836354,-1,-1,"NULL",99999,0.13289645,0.13289645,0.13289645,0.13289645,"Deutsche Hauptstelle f¸r Suchtfragen e.V.",0.522554092,"Stiftung Orgelklang",100,0,99999,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,95,1,99999,99999,1,26,3,99999,40,7,99999,0,10,5,99999,0,8,8,99999,0,99999,0,99999,1,1,1,40,50,140,0,0,0,0,150,140,0,0,25,2.075,25,2.075,99999,99999,0,99999,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2,11,"220516_1031",1,"subjects",1,17,1,16.45,16.45,1,0.049646942,11,0.425148377,12,0.565797007,7,7,2,100,50,50,90,80,-1,0.21767212,50.96027815,50.29143103,10.01892517,20.4189203,-1,-1,"NULL",99999,0.21767212,0.21767212,0.21767212,0.21767212,"a participant of another experiment",0.142763122,"a participant of another experiment",100,0,99999,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,95,5,99999,99999,1,29,3,99999,40,7,99999,5,5,9,99999,9,9,5,99999,4,99999,200,99999,1,1,5,30,50,124,0,0,0,0,150,150,0,0,125,10.375,0,0,99999,99999,0,99999,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,4,8,"220516_1422",1,"subjects",1,13,1,15.786,15.786,1,0.190085316,8,0.04622421,12,0.40860066,7,7,2,50,50,100,100,40,-1,50.65737472,50.99096112,0.067332281,0.491327228,60.90294761,-1,-1,"NULL",99999,50.65737472,0.067332281,0.067332281,0.067332281,"Stiftung Orgelklang",0.590465937,"Stiftung Orgelklang",100,0,99999,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,95,1,99999,99999,1,21,3,99999,40,7,99999,9,0,8,99999,7,0,9,99999,6,99999,50,99999,1,1,6,50,50,142,0,0,0,0,150,142,0,0,150,12.45,150,12.45,99999,99999,0,99999,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,6,6,6,6,7,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,9,"220516_0843",1,"subjects",1,12,1,15.62,15.62,1,0.128713986,9,0.722793197,2,0.978859347,1,1,2,90,90,80,70,90,-1,10.18739554,10.77132084,20.09436213,30.91029344,10.52227428,-1,-1,"NULL",99999,10.18739554,10.18739554,10.18739554,10.18739554,"a participant of another experiment",0.202737098,"Deutsche Hauptstelle f¸r Suchtfragen e.V.",90,10,99999,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,95,10,99999,99999,0,21,3,99999,55,9,99999,4,10,8,99999,10,8,2,99999,0,99999,500,99999,1,1,4,35,50,131,0,0,0,0,140,140,10,0.83,100,8.3,10,0.83,99999,99999,0,99999,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,2,2,3,3,4,5,6,7,8,9,9,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,3,"220516_1031",1,"subjects",1,21,1,16.45,16.45,1,0.855002019,3,0.982849642,2,0.588431939,6,6,2,100,60,100,100,80,-1,0.221569655,40.88549147,0.548279527,0.292625331,20.37775137,-1,-1,"NULL",99999,0.221569655,0.221569655,0.221569655,0.221569655,"a participant of another experiment",0.419784491,"Stiftung Orgelklang",100,0,99999,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,95,1,99999,99999,1,20,3,99999,35,6,99999,7,2,5,99999,9,4,7,99999,2,99999,250,99999,1,1,2,25,50,124,0,0,0,0,150,150,0,0,50,4.15,0,0,99999,99999,0,99999,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,2,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,9,"220516_1239",1,"subjects",1,14,1,15.039,15.039,1,0.349198303,9,0.718209118,2,0.760155812,3,3,2,50,30,60,50,30,-1,50.30264842,70.31863335,40.14914479,50.62744186,70.55931961,-1,-1,"NULL",99999,50.30264842,40.14914479,40.14914479,40.14914479,"Stiftung Orgelklang",0.96950173,"Adipositas Stiftung Deutschland",30,70,99999,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,60,10,99999,99999,1,23,3,99999,40,7,99999,8,7,7,99999,10,6,8,99999,3,99999,200,99999,1,1,8,45,40,133,0,0,0,0,70,133,70,5.81,200,16.6,200,16.6,99999,99999,0,99999,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,2,2,3,4,5,6,7,8,8,8,8,9,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
